circuitId,circuitRef,name,location,country,lat,lng,alt,url,circuit_image,country_flag,length
27,estoril,Autódromo do Estoril,Estoril,Portugal,38.7506,-9.39417,130,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Estoril_track_map.svg/500px-Estoril_track_map.svg.png,https://www.countryflags.com/wp-content/uploads/portugal-flag-3d-icon-256.png,4.182 km
28,okayama,Okayama International Circuit,Okayama,Japan,34.915,134.221,266,http://en.wikipedia.org/wiki/TI_Circuit,https://upload.wikimedia.org/wikipedia/commons/b/b4/Circuit_TI_%28Aida%29.png,https://www.countryflags.com/wp-content/uploads/japan-flag-3d-icon-256.png,3.703 km
29,adelaide,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617,58,http://en.wikipedia.org/wiki/Adelaide_Street_Circuit,https://static.wikia.nocookie.net/f1wikia/images/a/a3/Adelaide_Street_Circuit.png/revision/latest?cb=20190701164140,https://www.countryflags.com/wp-content/uploads/australia-flag-3d-icon-256.png,3.219 km
30,kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767,1460,http://en.wikipedia.org/wiki/Kyalami,https://upload.wikimedia.org/wikipedia/commons/9/92/Kyalami_16.png,https://www.countryflags.com/wp-content/uploads/south-africa-flag-3d-icon-256.png,4.529 km
31,donington,Donington Park,Castle Donington,UK,52.8306,-1.37528,88,http://en.wikipedia.org/wiki/Donington_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Donington_circuit.svg/800px-Donington_circuit.svg.png,https://www.countryflags.com/wp-content/uploads/united-kingdom-flag-3d-icon-256.png,4.02 km
32,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,2227,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez,"https://media.formula1.com/image/upload/c_lfill,w_3392/q_auto/v1740000000/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Mexico_Circuit.webp",https://www.countryflags.com/wp-content/uploads/mexico-flag-3d-icon-256.png,4.304 km
33,phoenix,Phoenix street circuit,Phoenix,USA,33.4479,-112.075,345,http://en.wikipedia.org/wiki/Phoenix_street_circuit,https://upload.wikimedia.org/wikipedia/commons/a/af/Circuit_Phoenix.png,https://www.countryflags.com/wp-content/uploads/united-states-flag-3d-icon-256.png,3.721 km
34,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,432,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit,"https://media.formula1.com/image/upload/c_lfill,w_3392/q_auto/v1740000000/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/France_Circuit.webp",https://www.countryflags.com/wp-content/uploads/france-flag-3d-icon-256.png,5.842 km
35,yeongam,Korean International Circuit,Yeongam County,Korea,34.7333,126.417,0,http://en.wikipedia.org/wiki/Korean_International_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Korea_international_circuit_v3.svg/1200px-Korea_international_circuit_v3.svg.png,https://www.countryflags.com/wp-content/uploads/south-korea-flag-3d-icon-256.png,5.615 km
36,jacarepagua,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-22.9756,-43.395,1126,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Jacarepagu%C3%A1-short_circuit.png/1200px-Jacarepagu%C3%A1-short_circuit.png,https://www.countryflags.com/wp-content/uploads/brazil-flag-3d-icon-256.png,3.336 km
